NAMA,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KARBO (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA (mg),SENG (mg),RETINOL (mcg),BKAR (mcg),KARTOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VITC (mg),BDD (%)
Beras giling mentah,12,357,8.4,1.7,77.1,0.2,0.8,147,81,1.8,27,71,0.1,0.5,0,0,0,0.2,0.08,2.6,0,100
Beras giling var pelita mentah,11.4,369,9.5,1.4,77.1,0.4,0.6,68,171,1.4,34,0,0,0,0,0,0,0.26,0,0,0,100
Beras giling var rojolele mentah,12,357,8.4,1.7,77.1,0.2,0.8,147,81,1.8,34,112.9,0.14,0.1,,0,80,0.2,0.02,1.5,0,100
Beras hitam mentah,12.9,351,8,1.3,76.9,20.1,0.9,6,198,0.1,15,105,0.1,1.6,0,0,0,0.21,0.06,0,0,100
Beras jagung kuning kering mentah,10.8,358,5.5,0.1,82.7,10,0.9,20,90,1.4,1,80,0.1,4.1,,641,,0.12,0.08,1,3,100
Beras jagung putih kering mentah,22.5,307,4.8,0.1,71.8,10,0.8,17,78,1.2,1,70,0.1,3.5,,301,,0.15,0.07,0.9,0,100
Beras ketan hitam tumbuk mentah,13.7,360,8,2.3,74.5,1,1.5,10,347,6.2,11,288,0.28,2.2,0,0,0,0.24,0.1,2,0,100
Beras ketan putih tumbuk mentah,12.9,361,7.4,0.8,78.4,0.4,0.5,13,157,3.4,3,282,0.28,2.2,0,0,0,0.28,0,1.4,0,100
Beras ladang mentah,9.8,376,7.5,3.8,78,5.9,0.9,20,110,0.8,10,70,0.1,1.4,0,0,,0.2,0.2,5.1,0,100
Beras menir mentah,12,362,7.7,4.4,73,0.2,0.2,22,272,3.7,90,201,0.1,0.5,0,0,,0.55,0,1.9,0,100
Beras parboiled,10,353,6.8,0.6,80,0.5,2.5,5,142,0.8,2,46,0.28,1,0,0,,0.22,0.11,3.4,0,100
Beras tumbuk mentah,11.5,354,7.8,0.4,79.9,3.8,0.4,3,112,0.6,5,85,0.5,1.5,0,0,,0.25,0.22,5.1,0,100
Beras tumbuk merah mentah,14.6,352,7.3,0.9,76.2,0.8,1,15,257,4.2,10,202,0.36,1.9,0,0,0,0.34,0,3.3,0,100
Cantel mentah,11,366,11,3.3,73,1.2,1.7,28,287,4.4,7,249,,,0,0,,0.09,0.14,2.8,0,100
Jagung muda kuning mentah,61.8,147,5.1,0.7,31.5,1.3,0.9,6,122,1.1,5,33.6,0.13,0.9,0,113,261,0.24,0.1,0.8,9,100
Jagung kuning pipil kering mentah,11.5,366,9.8,7.3,69.1,2.2,2.4,30,538,2.3,5,79.4,0.1,4.1,,636,641,0.12,0.12,1.8,3,100
Jagung pipil var harapan kering,11.3,367,6.2,5.1,76.2,2.6,1.2,7,354,2.8,1,79.6,0.1,4.1,,637,385,0.19,0.08,1,0,100
Jagung pipil var metro kering,10.6,368,5.5,4.6,78,2.9,1.3,7,300,2.4,1,80.2,0.1,4.1,,642,554,0.16,0.08,1,0,100
Jali mentah,23,324,11,4,61,3.1,1,213,176,"11. 
0",24,,0.1,0.4,,,,0.14,0.08,1.8,0,90
Jawawut mentah,11.9,364,9.7,3.5,73.4,8.2,1.5,28,311,5.3,7,255.1,0.45,1.5,,33,,0.33,0.28,4.5,,100
Jampang huma mentah,11.7,350,6.2,1.4,78.2,1.7,2.5,329,254,5.3,53,396.7,0.7,1.6,,33,,0.51,0.3,0.7,0,100
Nasi,56.7,180,3,0.3,39.8,0.2,0.2,25,27,0.4,1,38,0.1,0.6,0,0,,0.05,0.1,2.6,0,100
Nasi tim,71,120,2.4,0.4,26,0.5,0.2,3,7,0.4,0,23.9,0.1,0.4,,0,,0.1,0,1.4,0,100
Beras tapai,75.5,99,1.7,0.3,22.4,0,0.1,4,19,0,26,2,0.1,0.5,0,0,0,0,0,0,0,100
Beras tepung mentah,12,353,7,0.5,80,2.4,0.5,5,140,0.8,5,241,0.1,0.8,0,0,0,0.12,0.1,1.2,0,100
Beras merah Nasi,64,149,2.8,0.4,32.5,0.3,0.3,6,63,0.8,5,91.4,0.2,0.9,0,0,0,0.06,0,1.6,0,100
Bihun mentah,12.9,348,4.7,0.1,82.1,1.2,0.2,6,35,1.8,12,5,0.08,0.7,0,0,0,0,0,0.2,0,100
Bihun goreng instan,9,381,6.1,3.9,80.3,0,0.7,266,151,2.9,928,,,,58,,400,0.37,,,0,100
Bihun Jagung mentah,11.3,354,0.5,0.3,87.4,3,0.5,13,111,0.6,49,1.4,0.4,0,,0,0,0.02,0.02,0.3,0,100
Jagung nasi mentah,11,357,8.8,0.5,79.5,6.2,0.3,5,43,0.6,2,30.4,0.1,0.3,,0,0,0.3,0.02,0.1,0,100
Jagung muda rebus,53.2,142,5,0.7,30.3,0.8,0.8,5,105,0.8,5,24.3,0.2,0.9,,145,225,0.15,0,0.7,0,100
Jagung kuning tepung,12,355,9.2,3.9,73.7,7.2,1.2,10,256,2.4,11,24.4,0.23,1.7,,0,510,0.38,0.02,0.3,,100
Jagung kuning pipil rebus,63.7,154,3.8,3.5,28.4,0.7,0.6,7,171,0.5,5,56.4,0.1,4.4,,818,234,0.08,0.1,1.7,0,100
Jagung tepung putih,12,355,9.2,3.9,73.7,7.2,1.2,10,256,2.4,11,24.4,0.23,1.7,,0,0,0.38,0.02,0.3,,100
Ketan ketupat,52,212,4,4.6,38.6,0.2,0.9,8,46,1,,,,,0,0,0,0.07,,0.2,0,100
Ketan hitam matang,56.9,181,4,1.2,37.3,0.3,0.6,9,144,1.7,9,18.4,0.1,0.7,0,0,0,0.06,0,0.5,0,100
Ketan hitam tapai,50.2,166,3.8,1,34.4,0.3,0.6,8,106,1.6,5,12,,,,,0,0.02,,,0,100
Ketan putih matang,60.7,163,3,0.4,35.7,0.2,0.2,4,55,0.7,8,16.8,0.1,0.7,0,0,0,0.07,0,0.5,0,100
Ketan putih tapai,58.9,172,3,0.5,37.5,0.6,0.1,6,35,0.5,1,,,,0,0,0,0.04,0,0.2,0,100
Maizena tepung,14,341,0.3,0,85,7,0.7,20,30,1.5,6,9,0.22,1.6,0,0,0,0,0.09,1.3,0,100
Makaroni mentah,11.7,353,8.7,0.4,78.7,4.9,2.5,20,80,0.3,5,0,0.28,1.4,,,0,0.1,0.13,2.2,0,100
Mi basah,80,88,0.6,3.3,14,0.1,2.1,14,13,6.8,63,13.5,0.06,0.4,,0,,0,0,0,0,100
Mi kering,10.6,339,10,1.7,6.3,0.4,1.4,31,143,3.9,760,83,0.29,1.9,,,0,0,0.08,2.2,0,100
Misoa,10,345,8.5,2.2,78,0.5,1.3,52,120,8.7,3064,44,0.08,0,0,0,0,0,0.02,0.2,0,100
Roti putih,40,248,8,1.2,50,9.1,0.8,10,95,1.5,530,91,0.15,0.9,0,0,0,0.1,0.29,2.4,0,100
Tepung terigu,11.8,333,9,1,77.2,0.3,1,22,150,1.3,2,0,0,2.8,0,0,0,0.1,0.07,1,0,100
Amparan tatak,58.4,191,1.3,5.5,34,0,0.8,,,,,,,,,,,,,,,100
Apang kukus kue,49.5,202,3,0.3,46.7,0,0.5,,,,,,,,,,,,,,,100
Apem kue,63.1,148,2,0.5,33.9,0,0.5,,,,,,,,,,,,,,,100
Biskuit,2.2,458,6.9,14.4,75.1,2.1,1.4,62,87,2.7,241,20.3,0.16,0.6,0,14,,0.09,0.15,1.4,0,100
Bakpia kue,38.9,272,8.7,6.7,44.1,0.9,1.6,194,117,4.5,,,,,,,1392,0.31,1,2.9,0,100
Bakwan,40.5,280,8.2,10.2,39,3.4,2.1,204,79,7,,,,,0,,0,0.08,,,0,100
Bantal,52.3,190,3.3,0.3,43.5,3.4,0.6,9,0,0.4,164,84,0.2,0.9,,,,0.27,0.02,3.6,,100
Baruasa,5.3,417,6.5,8.2,79.3,0,0.7,,,,,,,,,,,,,,,100
Batar daan,75.3,107,2.2,2.2,19.6,0,0.7,20,30,0.6,"200. 
0",90,0.1,,,,,0.18,0.02,,,100
Bika ambon,51.5,199,2.1,1.5,44.4,0.3,0.6,45,28,1.8,,,,,0,,408,0.1,,0,0,100
Bingka,44.4,273,5.3,10.6,39.1,0,0.6,,,,,,,,,,,,,,,100
Bobengka,46.3,225,5.3,2.6,45.2,0,0.6,,,,,,,,,,,,,,,100
