Name,Water(g),Energy(g),Protein(g),Fat(g),Carbohydrate(mg),Fiber(mg),Ash(mg),Calcium(CA)(mg),Phospor(P)(mg),Iron(Fe)(mg),Sodium(Na)(mg),Pottasium(Ka)(mg),Copper(Cu)(mg),Zinc(Zn)(mg),Retinol(vit.A)(mcg),?-carotene(mcg),Carotene(Total)(mcg),Thiamin(vit.B1)(mcg),Riboflavin(vit.B2)(mg),Niacin(mg),Vitamin_C(mg),Eaten%,Raw_Processed,Group
Rice,56.7,180,3,0.3,39.8,0.2,0.2,25,27,0.4,1,38,0.1,0.6,-,-,-,0.05,0.1,2.6,-,100,Processed,Cereal
Tim Rice,71,120,2.4,0.4,26,0.5,0.2,3,7,0.4,-,23.9,0.1,0.4,-,-,-,0.1,-,1.4,-,100,Processed,Cereal
Tapai rice,75.5,99,1.7,0.3,22.4,-,0.1,4,19,-,26,2,0.1,0.5,-,-,-,-,-,-,-,100,Processed,Cereal
"Rice flour, raw",12,353,7,0.5,80,2.4,0.5,5,140,0.8,5,241,0.1,0.8,-,-,-,0.12,0.1,1.2,-,100,Processed,Cereal
Brown rice,64,149,2.8,0.4,32.5,0.3,0.3,6,63,0.8,5,91.4,0.2,0.9,-,-,-,0.06,-,1.6,-,100,Processed,Cereal
"Vermicelli, raw",12.9,348,4.7,0.1,82.1,1.2,0.2,6,35,1.8,12,5,0.08,0.7,-,-,-,-,-,0.2,-,100,Processed,Cereal
"Fried vermicelli, instant",9,381,6.1,3.9,80.3,-,0.7,266,151,2.9,928,-,-,-,58,-,400,0.37,-,-,-,100,Processed,Cereal
"Corn Vermicelli, raw",11.3,354,0.5,0.3,87.4,3,0.5,13,111,0.6,49,1.4,0.4,-,-,-,-,0.02,0.02,0.3,0.2,100,Processed,Cereal
Corn rice,11,357,8.8,0.5,79.5,6.2,0.3,5,43,0.6,2,30.4,0.1,0.3,-,-,-,0.3,0.02,0.1,0.2,100,Processed,Cereal
"Young corn, boil",53.2,142,5,0.7,30.3,0.8,0.8,5,105,0.8,5,24.3,0.2,0.9,-,145,225,0.15,0.08,0.7,-,100,Processed,Cereal
"Yellow corn, flour",12,355,9.2,3.9,73.7,7.2,1.2,10,256,2.4,11,24.4,0.23,1.7,-,-,510,0.38,0.02,0.3,-,100,Processed,Cereal
"Yellow pipil corn, boil",63.7,154,3.8,3.5,28.4,0.7,0.6,7,171,0.5,5,56.4,0.1,2,-,818,234,0.08,0.1,1.7,-,100,Processed,Cereal
White corn flour,12,355,9.2,3.9,73.7,7.2,1.2,10,256,2.4,11,24.4,0.23,1.7,-,-,-,0.38,0.02,0.3,-,100,Processed,Cereal
Ketupat sticky rice,52,212,4,4.6,38.6,0.2,0.9,8,46,1,-,-,-,-,-,-,-,0.07,-,0.2,-,100,Processed,Cereal
"Black sticky rice, cooked",56.9,181,4,1.2,37.3,0.3,0.6,9,144,1.7,9,18.4,0.1,0.7,-,-,-,0.06,-,0.5,-,100,Processed,Cereal
Black sticky rice tapai,50.2,166,3.8,1,34.4,0.3,0.6,8,106,1.6,5,12,-,-,-,-,-,0.02,-,-,-,100,Processed,Cereal
"White sticky rice, cooked",60.7,163,3,0.4,35.7,0.2,0.2,4,55,0.7,8,16.8,0.1,0.7,-,-,-,0.07,-,0.5,-,100,Processed,Cereal
White sticky rice tapai,58.9,172,3,0.5,37.5,0.6,0.1,6,35,0.5,1,-,-,-,-,-,-,0.04,-,0.2,-,100,Processed,Cereal
"Maizena, flour",14,341,0.3,-,85,7,0.7,20,30,1.5,6,9,0.22,1.6,-,-,-,-,0.09,1.3,-,100,Processed,Cereal
"Macaroni, raw",11.7,353,8.7,0.4,78.7,4.9,2.5,20,80,0.3,5,-,0.28,1.4,-,-,-,0.1,0.13,2.2,-,100,Processed,Cereal
Wet noodles,80,88,0.6,3.3,14,0.1,2.1,14,13,6.8,63,13.5,0.06,0.4,-,-,-,-,-,-,-,100,Processed,Cereal
Dry noodles,10.6,339,10,1.7,6.3,0.4,1.4,31,143,3.9,760,83,0.29,1.9,-,-,-,-,0.08,2.2,-,100,Processed,Cereal
Misoa,10,345,8.5,2.2,78,0.5,1.3,52,120,8.7,"3,064",44,0.08,-,-,-,-,-,0.02,0.2,-,100,Processed,Cereal
White bread,40,248,8,1.2,50,9.1,0.8,10,95,1.5,530,91,0.15,0.9,-,-,-,0.1,0.29,2.4,-,100,Processed,Cereal
Wheat flour,11.8,333,9,1,77.2,0.3,1,22,150,6.3,2,-,0.02,2.8,-,-,-,0.35,0.47,1,-,100,Processed,Cereal
Tataran (Amparan tatak),58.4,191,1.3,5.5,34,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Processed,Cereal
"Steamed rice, cake",49.5,202,3,0.3,46.7,-,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Processed,Cereal
